Scientific_name,English_name,TipLabel,Female_plumage_score,Male_plumage_score
Anthoscopus minutus,Southern Penduline-tit,Anthoscopus_minutus,41.66666667,40.69444444
Anthoscopus musculus,Mouse-coloured Penduline-tit,Anthoscopus_musculus,43.05555556,41.38888889
Anthoscopus parvulus,Yellow Penduline-tit,Anthoscopus_parvulus,41.11111111,41.38888889
Anthoscopus punctifrons,Sennar Penduline-tit,Anthoscopus_punctifrons,42.63888889,45
Anthreptes anchietae,Anchieta's Sunbird,Anthreptes_anchietae,57.77777778,56.66666667
Anthreptes aurantium,Violet-tailed Sunbird,Anthreptes_aurantium,54.30555556,56.80555556
Anthreptes collaris,Collared Sunbird,Anthreptes_collaris,44.58333333,57.36111111
Anthreptes fraseri,Scarlet-tufted Sunbird,Anthreptes_fraseri,43.05555556,41.25
Anthreptes gabonicus,Mouse-brown Sunbird,Anthreptes_gabonicus,42.08333333,41.94444444
Anthreptes longuemarei,Western Violet-backed Sunbird,Anthreptes_longuemarei,44.16666667,53.88888889
Anthreptes malacensis,Plain-throated Sunbird,Anthreptes_malacensis,41.38888889,53.88888889
Anthreptes metallicus,Nile Valley Sunbird,Anthreptes_metallicus,40.13888889,54.58333333
Anthreptes neglectus,Uluguru Violet-backed Sunbird,Anthreptes_neglectus,52.5,55.83333333
Anthreptes orientalis,Kenya Violet-backed Sunbird,Anthreptes_orientalis,45.13888889,57.36111111
Anthreptes pallidigaster,Amani Sunbird,Anthreptes_pallidigaster,46.66666667,59.30555556
Anthreptes platurus,Pygmy Sunbird,Anthreptes_platurus,36.52777778,48.61111111
Anthreptes rectirostris,Green Sunbird,Anthreptes_rectirostris,42.08333333,47.22222222
Anthreptes reichenowi,Plain-backed Sunbird,Anthreptes_reichenowi,35.55555556,56.38888889
Anthreptes rhodolaemus,Red-throated Sunbird,Anthreptes_rhodolaemus,41.80555556,49.72222222
Anthreptes rubritorques,Banded Sunbird,Anthreptes_rubritorques,40.97222222,53.19444444
Anthreptes simplex,Plain Sunbird,Anthreptes_simplex,35.41666667,41.11111111
Anthreptes singalensis,Ruby-cheeked Sunbird,Anthreptes_singalensis,48.19444444,50.97222222
Anthus antarcticus,South Georgia Pipit,Anthus_antarcticus,40.69444444,38.75
Anthus berthelotii,Berthelot's Pipit,Anthus_berthelotii,44.44444444,43.05555556
Anthus bogotensis,Paramo Pipit,Anthus_bogotensis,39.02777778,38.88888889
Anthus brachyurus,Short-tailed Pipit,Anthus_brachyurus,40,42.63888889
Anthus caffer,Bush Pipit,Anthus_caffer,43.33333333,40.41666667
Anthus campestris,Tawny Pipit,Anthus_campestris,39.16666667,40.41666667
Anthus cervinus,Red-throated Pipit,Anthus_cervinus,44.16666667,45.13888889
Anthus chacoensis,Pampas Pipit,Anthus_chacoensis,37.77777778,45.27777778
Anthus chloris,Yellow-breasted Pipit,Anthus_chloris,47.5,47.77777778
Anthus correndera,Correndera Pipit,Anthus_correndera,43.75,39.72222222
Anthus crenatus,Yellow-tufted Pipit,Anthus_crenatus,40.69444444,42.08333333
Anthus furcatus,Short-billed Pipit,Anthus_furcatus,42.22222222,40.83333333
